"go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0007015",1,"GO:0007015",0.995,11.5476159962624,128,"actin filament organization","actin filament organization"
"GO:0032970",1,"GO:0007015",0.836,7.30303652810348,3,"regulation of actin filament-based process","actin filament organization"
"GO:0034329",2,"GO:0034329",0.996,7.30303652810348,18,"cell junction assembly","cell junction assembly"
"GO:0032956",1,"GO:0007015",0.86,6.52663356001301,83,"regulation of actin cytoskeleton organization","actin filament organization"
"GO:1903034",3,"GO:1903034",0.998,5.92795333456316,1,"regulation of response to wounding","regulation of response to wounding"
"GO:0044706",4,"GO:0044706",0.998,5.92795333456316,0,"multi-multicellular organism process","multi-multicellular organism process"
"GO:0043062",2,"GO:0034329",0.36,5.92795333456316,1,"extracellular structure organization","cell junction assembly"
"GO:0110053",2,"GO:0034329",0.35,5.92795333456316,2,"regulation of actin filament organization","cell junction assembly"
"GO:0030198",2,"GO:0034329",0.36,5.92795333456316,286,"extracellular matrix organization","cell junction assembly"
"GO:0061326",5,"GO:0061326",0.999,5.4049563327401,1,"renal tubule development","renal tubule development"
"GO:0098657",6,"GO:0098657",0.998,5.30906455126957,2,"import into cell","import into cell"
"GO:0007565",4,"GO:0044706",0.985,5.30906455126957,87,"female pregnancy","multi-multicellular organism process"
"GO:0061041",3,"GO:1903034",0.985,5.28518093763542,5,"regulation of wound healing","regulation of response to wounding"
"GO:0048732",5,"GO:0061326",0.328,5.22046203485659,3,"gland development","renal tubule development"
"GO:0022604",5,"GO:0061326",0.279,4.80616489155995,24,"regulation of cell morphogenesis","renal tubule development"
"GO:0072080",5,"GO:0061326",0.995,4.80259241984208,0,"nephron tubule development","renal tubule development"
"GO:0010038",3,"GO:1903034",0.171,4.80259241984208,12,"response to metal ion","regulation of response to wounding"
"GO:0001655",5,"GO:0061326",0.868,4.74002220655818,13,"urogenital system development","renal tubule development"
"GO:1902903",2,"GO:0034329",0.36,4.70626873582938,1,"regulation of supramolecular fiber organization","cell junction assembly"
"GO:0072073",5,"GO:0061326",0.823,4.66608999374211,2,"kidney epithelium development","renal tubule development"
"GO:0008360",5,"GO:0061326",0.251,4.51962234212863,164,"regulation of cell shape","renal tubule development"
"GO:0051017",1,"GO:0007015",0.887,4.44027349768653,45,"actin filament bundle assembly","actin filament organization"
"GO:0031032",1,"GO:0007015",0.81,4.44027349768653,36,"actomyosin structure organization","actin filament organization"
"GO:0072001",5,"GO:0061326",0.881,4.30342577696581,0,"renal system development","renal tubule development"
"GO:0042493",3,"GO:1903034",0.168,4.24586431974966,289,"response to drug","regulation of response to wounding"
"GO:0072006",5,"GO:0061326",0.828,4.23769974841134,8,"nephron development","renal tubule development"
"GO:0050808",2,"GO:0034329",0.891,4.16026702212624,55,"synapse organization","cell junction assembly"
"GO:0061572",1,"GO:0007015",0.889,4.15512028015271,3,"actin filament bundle organization","actin filament organization"
"GO:0045216",2,"GO:0034329",0.818,4.07530734609349,23,"cell-cell junction organization","cell junction assembly"
"GO:0001822",5,"GO:0061326",0.877,4.06913811153583,100,"kidney development","renal tubule development"
"GO:0031589",7,"GO:0031589",0.997,4.04226707397114,20,"cell-substrate adhesion","cell-substrate adhesion"
"GO:0061028",5,"GO:0061326",0.553,4.01489837215656,19,"establishment of endothelial barrier","renal tubule development"
"GO:0030865",2,"GO:0034329",0.306,3.98563281085285,19,"cortical cytoskeleton organization","cell junction assembly"
"GO:0051056",8,"GO:0051056",0.998,3.96024906502063,146,"regulation of small GTPase mediated signal transduction","regulation of small GTPase mediated signal transduction"
"GO:0072009",5,"GO:0061326",0.804,3.94722713308846,0,"nephron epithelium development","renal tubule development"
"GO:0007599",9,"GO:0007599",0.997,3.91154728422342,9,"hemostasis","hemostasis"
"GO:0098656",6,"GO:0098657",0.374,3.90729503319772,40,"anion transmembrane transport","import into cell"
"GO:0048568",5,"GO:0061326",0.326,3.89201462068946,31,"embryonic organ development","renal tubule development"
"GO:0042908",6,"GO:0098657",0.31,3.89201462068946,23,"xenobiotic transport","import into cell"
"GO:0009914",9,"GO:0007599",0.464,3.74319236048885,1,"hormone transport","hemostasis"
"GO:0042445",9,"GO:0007599",0.458,3.73389156637665,14,"hormone metabolic process","hemostasis"
"GO:0046879",9,"GO:0007599",0.463,3.73389156637665,2,"hormone secretion","hemostasis"
"GO:0007596",9,"GO:0007599",0.995,3.72307845558082,199,"blood coagulation","hemostasis"
"GO:1901136",10,"GO:1901136",0.998,3.67819546350958,0,"carbohydrate derivative catabolic process","carbohydrate derivative catabolic process"
"GO:0007178",3,"GO:1903034",0.179,3.66494341290544,9,"transmembrane receptor protein serine/threonine kinase signaling pathway","regulation of response to wounding"
"GO:0044282",10,"GO:1901136",0.561,3.66494341290544,0,"small molecule catabolic process","carbohydrate derivative catabolic process"
"GO:0006814",6,"GO:0098657",0.363,3.66168626461557,79,"sodium ion transport","import into cell"
"GO:0001763",5,"GO:0061326",0.263,3.5985831154261,9,"morphogenesis of a branching structure","renal tubule development"
"GO:0050769",5,"GO:0061326",0.324,3.54811505043256,30,"positive regulation of neurogenesis","renal tubule development"
"GO:0001823",5,"GO:0061326",0.79,3.53550462816991,11,"mesonephros development","renal tubule development"
"GO:0001885",5,"GO:0061326",0.564,3.53550462816991,3,"endothelial cell development","renal tubule development"
