"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Up","R-HSA-194315","Signaling by Rho GTPases","90/1092","455/10704",3.07745329775862e-10,3.99453438049069e-07,3.74477474969365e-07,"TUBB2B/TUBB2A/A2M/TUBA3E/ARHGEF10/MYL9/TUBB4A/ARHGEF4/NGEF/RHPN2/FLNA/RALBP1/MAPK11/DYNC1I1/TIAM2/ARHGAP29/STARD8/WIPF3/CDH1/YWHAH/ACTB/ABR/FMNL2/ERCC6L/RHOBTB2/TRIO/BUB1/TUBA1A/IQGAP3/ITGB1/VAV1/ARHGAP5/RHOU/SFN/BUB1B/CENPA/OBSCN/KIF2C/WASF3/SCAI/KIF14/ITSN1/MAPK3/CENPH/KLC3/ARHGAP10/DLC1/CENPI/TUBB6/YWHAQ/SYDE2/RAC3/ARHGAP19/ECT2/MYH10/TIAM1/CDC20/NDC80/MYH9/CENPF/MYH14/CYFIP1/ARHGEF17/ARHGAP11A/PPP2R5A/KIF18A/FGD4/KDM1A/PAK2/PRC1/TRIP10/ARHGAP44/CIT/RHOC/SKA1/AURKB/CALM2/CDCA8/KNTC1/CKAP5/PKN3/RTKN/MAD2L1/CENPK/ACTG1/PTK2/CTNNB1/ARHGAP35/CENPE/NUF2",90
"Up","R-HSA-446353","Cell-extracellular matrix interactions","12/1092","18/10704",1.24291347283841e-08,8.06650843872131e-06,7.5621472347432e-06,"FLNC/FLNA/LIMS2/PARVB/ACTB/ITGB1/VASP/FBLIM1/ACTN1/PARVA/PXN/ACTG1",12
"Up","R-HSA-446728","Cell junction organization","28/1092","91/10704",4.93465901852723e-08,2.13506246868278e-05,2.00156695628683e-05,"KRT14/SDK1/FLNC/CLDN6/FLNA/LAMB3/LIMS2/CDH2/SDK2/CDH1/PARVB/LAMC2/CLDN3/ACTB/ITGB1/ITGB4/VASP/FBLIM1/ACTN1/PARVA/CLDN4/PXN/CTNND1/CLDN23/F11R/PRKCI/ACTG1/CTNNB1",28
"Up","R-HSA-1500931","Cell-Cell communication","33/1092","129/10704",4.36162901260777e-07,0.000141534861459122,0.000132685345751963,"KRT14/SDK1/FLNC/CLDN6/FLNA/LAMB3/LIMS2/CDH2/SDK2/CDH1/PARVB/LAMC2/CLDN3/ACTB/SPTBN1/ITGB1/ITGB4/VASP/FBLIM1/ACTN1/PTK2B/PARVA/NCK2/SPTAN1/CLDN4/PXN/CTNND1/CLDN23/F11R/PRKCI/ACTG1/PTK2/CTNNB1",33
"Up","R-HSA-983189","Kinesins","20/1092","59/10704",7.18693837132243e-07,0.00018657292011953,0.000174907384363131,"TUBB2B/TUBB2A/TUBA3E/KIF1A/TUBB4A/KIF26A/KIF12/KIF19/KIF3C/TUBA1A/KIF20A/KIF2C/KLC3/KIFC1/KIF13B/TUBB6/KIF18A/KIF4A/CENPE/KIF20B",20
"Up","R-HSA-5663220","RHO GTPases Activate Formins","34/1092","140/10704",1.08222611678351e-06,0.000234121583264165,0.000219483051052936,"TUBB2B/TUBB2A/TUBA3E/TUBB4A/DYNC1I1/ACTB/FMNL2/ERCC6L/BUB1/TUBA1A/ITGB1/BUB1B/CENPA/KIF2C/SCAI/CENPH/CENPI/TUBB6/CDC20/NDC80/CENPF/PPP2R5A/KIF18A/RHOC/SKA1/AURKB/CDCA8/KNTC1/CKAP5/MAD2L1/CENPK/ACTG1/CENPE/NUF2",34
"Up","R-HSA-195258","RHO GTPase Effectors","61/1092","327/10704",1.95962261539301e-06,0.000363370022111448,0.00034065018697659,"TUBB2B/TUBB2A/TUBA3E/MYL9/TUBB4A/RHPN2/FLNA/MAPK11/DYNC1I1/WIPF3/CDH1/YWHAH/ACTB/FMNL2/ERCC6L/BUB1/TUBA1A/IQGAP3/ITGB1/SFN/BUB1B/CENPA/KIF2C/WASF3/SCAI/KIF14/MAPK3/CENPH/KLC3/CENPI/TUBB6/YWHAQ/MYH10/CDC20/NDC80/MYH9/CENPF/MYH14/CYFIP1/PPP2R5A/KIF18A/KDM1A/PAK2/PRC1/CIT/RHOC/SKA1/AURKB/CALM2/CDCA8/KNTC1/CKAP5/PKN3/RTKN/MAD2L1/CENPK/ACTG1/PTK2/CTNNB1/CENPE/NUF2",61
"Up","R-HSA-9648025","EML4 and NUDC in mitotic spindle formation","29/1092","117/10704",4.27682896290861e-06,0.000693915499231922,0.00065052819488452,"TUBB2B/TUBB2A/TUBA3E/TUBB4A/DYNC1I1/ERCC6L/BUB1/NEK6/TUBA1A/BUB1B/CENPA/KIF2C/CENPH/CENPI/TUBB6/CDC20/NDC80/CENPF/PPP2R5A/KIF18A/SKA1/AURKB/CDCA8/KNTC1/CKAP5/MAD2L1/CENPK/CENPE/NUF2",29
"Up","R-HSA-373760","L1CAM interactions","29/1092","119/10704",6.13238218087047e-06,0.000884425785641096,0.000829126760360966,"TUBB2B/TUBB2A/TUBA3E/ITGA2/TUBB4A/CNTNAP1/SCN5A/MSN/SPTBN4/SPTB/ACTB/SPTBN1/CD24/LAMB1/LAMA1/TUBA1A/SPTBN5/MAP2K1/ITGB1/DNM1/FGFR1/LAMC1/MAPK3/ITGA2B/TUBB6/SPTAN1/RPS6KA3/KIF4A/ACTG1",29
"Up","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","30/1092","126/10704",7.04761935185295e-06,0.000914780991870513,0.000857583996920212,"TUBB2B/TUBB2A/TUBA3E/TUBB4A/DYNC1I1/ERCC6L/BUB1/TUBA1A/BUB1B/CENPA/KIF2C/CENPH/CENPI/TUBB6/CDC20/NDC80/CENPF/PPP2R5A/KIF18A/SKA1/AURKB/CCNB2/CDCA8/KNTC1/CKAP5/MAD2L1/CENPK/CENPE/NUF2/CCNB1",30
