"go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0007015",1,"GO:0007015",0.995,11.629670383569,128,"actin filament organization","actin filament organization"
"GO:0032970",1,"GO:0007015",0.836,7.75903312707254,3,"regulation of actin filament-based process","actin filament organization"
"GO:0031032",1,"GO:0007015",0.81,7.75903312707254,36,"actomyosin structure organization","actin filament organization"
"GO:0034329",2,"GO:0034329",0.996,7.49400674631191,18,"cell junction assembly","cell junction assembly"
"GO:0032956",1,"GO:0007015",0.86,7.24725658710306,83,"regulation of actin cytoskeleton organization","actin filament organization"
"GO:0110053",2,"GO:0034329",0.35,6.72873551866085,2,"regulation of actin filament organization","cell junction assembly"
"GO:0051017",1,"GO:0007015",0.887,6.51712355989718,45,"actin filament bundle assembly","actin filament organization"
"GO:0061572",1,"GO:0007015",0.889,6.21743211686887,3,"actin filament bundle organization","actin filament organization"
"GO:0008360",3,"GO:0008360",0.999,5.61729456561206,164,"regulation of cell shape","regulation of cell shape"
"GO:1902903",2,"GO:0034329",0.36,5.26933898984193,1,"regulation of supramolecular fiber organization","cell junction assembly"
"GO:0022604",3,"GO:0008360",0.889,5.23205450126011,24,"regulation of cell morphogenesis","regulation of cell shape"
"GO:0045216",2,"GO:0034329",0.818,5.14820153665076,23,"cell-cell junction organization","cell junction assembly"
"GO:1903034",4,"GO:1903034",0.998,4.7340697232649,1,"regulation of response to wounding","regulation of response to wounding"
"GO:0007051",2,"GO:0034329",0.339,4.7340697232649,19,"spindle organization","cell junction assembly"
"GO:0045785",5,"GO:0045785",0.996,4.69740112259801,50,"positive regulation of cell adhesion","positive regulation of cell adhesion"
"GO:0042063",3,"GO:0008360",0.271,4.63708714430204,6,"gliogenesis","regulation of cell shape"
"GO:0043149",1,"GO:0007015",0.854,4.28989195312071,18,"stress fiber assembly","actin filament organization"
"GO:0030038",1,"GO:0007015",0.854,4.28989195312071,0,"contractile actin filament bundle assembly","actin filament organization"
"GO:0061028",3,"GO:0008360",0.233,4.22720258686279,19,"establishment of endothelial barrier","regulation of cell shape"
"GO:0030198",2,"GO:0034329",0.36,4.22720258686279,286,"extracellular matrix organization","cell junction assembly"
"GO:0043062",2,"GO:0034329",0.36,4.22720258686279,1,"extracellular structure organization","cell junction assembly"
"GO:0000280",2,"GO:0034329",0.373,4.22720258686279,0,"nuclear division","cell junction assembly"
"GO:0048285",2,"GO:0034329",0.376,4.22720258686279,7,"organelle fission","cell junction assembly"
"GO:0072073",3,"GO:0008360",0.262,4.06610996287897,2,"kidney epithelium development","regulation of cell shape"
"GO:0032231",1,"GO:0007015",0.855,4.0523053781492,1,"regulation of actin filament bundle assembly","actin filament organization"
"GO:1902850",2,"GO:0034329",0.332,3.95265241963774,2,"microtubule cytoskeleton organization involved in mitosis","cell junction assembly"
"GO:0061041",4,"GO:1903034",0.985,3.94712712845107,5,"regulation of wound healing","regulation of response to wounding"
"GO:0035633",6,"GO:0035633",1,3.94675083232015,33,"maintenance of blood-brain barrier","maintenance of blood-brain barrier"
"GO:0031589",5,"GO:0045785",0.71,3.90289559145893,20,"cell-substrate adhesion","positive regulation of cell adhesion"
"GO:0051983",7,"GO:0051983",0.999,3.86597750616801,10,"regulation of chromosome segregation","regulation of chromosome segregation"
"GO:0044784",7,"GO:0051983",0.954,3.86331140083894,0,"metaphase/anaphase transition of cell cycle","regulation of chromosome segregation"
"GO:0061326",3,"GO:0008360",0.251,3.85774734838799,1,"renal tubule development","regulation of cell shape"
"GO:0060562",3,"GO:0008360",0.471,3.84700342628217,1,"epithelial tube morphogenesis","regulation of cell shape"
"GO:0110020",1,"GO:0007015",0.757,3.84700342628217,0,"regulation of actomyosin structure organization","actin filament organization"
