group,replicate,fastq_1,fastq_2,strandedness
BTS11_EVT_L1,1,NGS_M_Sheridan_40616_run1/BTS11_EVT_L001_ds.42c2cf23b4ea4d608bd2b9b6817bc8d0/BTS11-EVT_S5_L001_R1_001.fastq.gz, ,reverse
BTS11_EVT_L2,1,NGS_M_Sheridan_40616_run1/BTS11_EVT_L002_ds.4afebd4d2b15436e8baf297221210b57/BTS11-EVT_S5_L002_R1_001.fastq.gz, ,reverse
BTS11_EVT_L3,1,NGS_M_Sheridan_40616_run1/BTS11_EVT_L003_ds.47c47674f7b84346beeccb18ed26615a/BTS11-EVT_S5_L003_R1_001.fastq.gz, ,reverse
BTS11_EVT_L4,1,NGS_M_Sheridan_40616_run1/BTS11_EVT_L004_ds.00c649919bb34e81bb21f770ed05b9a7/BTS11-EVT_S5_L004_R1_001.fastq.gz, ,reverse
BTS11_Okae_TOM_L1,1,NGS_M_Sheridan_40616_run1/BTS11_Okae_TOM_L001_ds.106242b7fe8f41239e09592118d8b8ba/BTS11-Okae-TOM_S17_L001_R1_001.fastq.gz, ,reverse
BTS11_Okae_TOM_L2,1,NGS_M_Sheridan_40616_run1/BTS11_Okae_TOM_L002_ds.8300209245fa4815af3c5bf0a860ea75/BTS11-Okae-TOM_S17_L002_R1_001.fastq.gz, ,reverse
BTS11_Okae_TOM_L3,1,NGS_M_Sheridan_40616_run1/BTS11_Okae_TOM_L003_ds.5564a5c3dfc54f8f95f61572180f77d5/BTS11-Okae-TOM_S17_L003_R1_001.fastq.gz, ,reverse
BTS11_Okae_TOM_L4,1,NGS_M_Sheridan_40616_run1/BTS11_Okae_TOM_L004_ds.6e94e5c7c52948daa07e7f2bfb4ad7cc/BTS11-Okae-TOM_S17_L004_R1_001.fastq.gz, ,reverse
BTS11_STB_L1,1,NGS_M_Sheridan_40616_run1/BTS11_STB_L001_ds.ee1647d538a74c73ae7936f59ab8083f/BTS11-STB_S6_L001_R1_001.fastq.gz, ,reverse
BTS11_STB_L2,1,NGS_M_Sheridan_40616_run1/BTS11_STB_L002_ds.84f8f1602ace4e6aaefae125d111af55/BTS11-STB_S6_L002_R1_001.fastq.gz, ,reverse
BTS11_STB_L3,1,NGS_M_Sheridan_40616_run1/BTS11_STB_L003_ds.8a4666bc71944acab258875dfd617d30/BTS11-STB_S6_L003_R1_001.fastq.gz, ,reverse
BTS11_STB_L4,1,NGS_M_Sheridan_40616_run1/BTS11_STB_L004_ds.ce372d6876ca4a37ba922cfd8542f473/BTS11-STB_S6_L004_R1_001.fastq.gz, ,reverse
BTS11_TSC_L1,1,NGS_M_Sheridan_40616_run1/BTS11_TSC_L001_ds.37d32a7796404846976bd0925860c593/BTS11-TSC_S4_L001_R1_001.fastq.gz, ,reverse
