"sampleName","origin","individual","lane","Group"
"BTS11_EVT","EVT","BTS11","1","TSC-EVT"
"BTS11_EVT","EVT","BTS11","2","TSC-EVT"
"BTS11_EVT","EVT","BTS11","1","TSC-EVT"
"BTS11_EVT","EVT","BTS11","2","TSC-EVT"
"BTS11_EVT","EVT","BTS11","1","TSC-EVT"
"BTS11_EVT","EVT","BTS11","2","TSC-EVT"
"BTS11_EVT","EVT","BTS11","1","TSC-EVT"
"BTS11_EVT","EVT","BTS11","2","TSC-EVT"
"BTS11_Okae_TOM","Okae_TOM","BTS11","1","TSC-3D"
"BTS11_Okae_TOM","Okae_TOM","BTS11","2","TSC-3D"
"BTS11_Okae_TOM","Okae_TOM","BTS11","1","TSC-3D"
"BTS11_Okae_TOM","Okae_TOM","BTS11","2","TSC-3D"
"BTS11_Okae_TOM","Okae_TOM","BTS11","1","TSC-3D"
"BTS11_Okae_TOM","Okae_TOM","BTS11","2","TSC-3D"
"BTS11_Okae_TOM","Okae_TOM","BTS11","1","TSC-3D"
"BTS11_Okae_TOM","Okae_TOM","BTS11","2","TSC-3D"
"BTS11_STB","STB","BTS11","1","TSC-STC"
"BTS11_STB","STB","BTS11","2","TSC-STC"
"BTS11_STB","STB","BTS11","1","TSC-STC"
"BTS11_STB","STB","BTS11","2","TSC-STC"
"BTS11_STB","STB","BTS11","1","TSC-STC"
"BTS11_STB","STB","BTS11","2","TSC-STC"
"BTS11_STB","STB","BTS11","1","TSC-STC"
"BTS11_STB","STB","BTS11","2","TSC-STC"
"BTS11_TSC","TSC","BTS11","1","TSC-2D"
"BTS11_TSC","TSC","BTS11","2","TSC-2D"
"BTS11_TSC","TSC","BTS11","1","TSC-2D"
"BTS11_TSC","TSC","BTS11","2","TSC-2D"
"BTS11_TSC","TSC","BTS11","1","TSC-2D"
"BTS11_TSC","TSC","BTS11","2","TSC-2D"
"BTS11_TSC","TSC","BTS11","1","TSC-2D"
"BTS11_TSC","TSC","BTS11","2","TSC-2D"
"BTS5_EVT","EVT","BTS5","1","TSC-EVT"
"BTS5_EVT","EVT","BTS5","2","TSC-EVT"
"BTS5_EVT","EVT","BTS5","1","TSC-EVT"
"BTS5_EVT","EVT","BTS5","2","TSC-EVT"
"BTS5_EVT","EVT","BTS5","1","TSC-EVT"
"BTS5_EVT","EVT","BTS5","2","TSC-EVT"
"BTS5_EVT","EVT","BTS5","1","TSC-EVT"
"BTS5_EVT","EVT","BTS5","2","TSC-EVT"
"BTS5_Okae_TOM","Okae_TOM","BTS5","1","TSC-3D"
"BTS5_Okae_TOM","Okae_TOM","BTS5","2","TSC-3D"
"BTS5_Okae_TOM","Okae_TOM","BTS5","1","TSC-3D"
"BTS5_Okae_TOM","Okae_TOM","BTS5","2","TSC-3D"
"BTS5_Okae_TOM","Okae_TOM","BTS5","1","TSC-3D"
"BTS5_Okae_TOM","Okae_TOM","BTS5","2","TSC-3D"
"BTS5_Okae_TOM","Okae_TOM","BTS5","1","TSC-3D"
"BTS5_Okae_TOM","Okae_TOM","BTS5","2","TSC-3D"
"BTS5_STB","STB","BTS5","1","TSC-STC"
"BTS5_STB","STB","BTS5","2","TSC-STC"
"BTS5_STB","STB","BTS5","1","TSC-STC"
"BTS5_STB","STB","BTS5","2","TSC-STC"
"BTS5_STB","STB","BTS5","1","TSC-STC"
"BTS5_STB","STB","BTS5","2","TSC-STC"
"BTS5_STB","STB","BTS5","1","TSC-STC"
"BTS5_STB","STB","BTS5","2","TSC-STC"
"BTS5_TSC","TSC","BTS5","1","TSC-2D"
"BTS5_TSC","TSC","BTS5","2","TSC-2D"
"BTS5_TSC","TSC","BTS5","1","TSC-2D"
"BTS5_TSC","TSC","BTS5","2","TSC-2D"
"BTS5_TSC","TSC","BTS5","1","TSC-2D"
"BTS5_TSC","TSC","BTS5","2","TSC-2D"
"BTS5_TSC","TSC","BTS5","1","TSC-2D"
"BTS5_TSC","TSC","BTS5","2","TSC-2D"
"CT27_EVT","EVT","CT27","1","TSC-EVT"
"CT27_EVT","EVT","CT27","2","TSC-EVT"
"CT27_EVT","EVT","CT27","1","TSC-EVT"
"CT27_EVT","EVT","CT27","2","TSC-EVT"
"CT27_EVT","EVT","CT27","1","TSC-EVT"
"CT27_EVT","EVT","CT27","2","TSC-EVT"
"CT27_EVT","EVT","CT27","1","TSC-EVT"
"CT27_EVT","EVT","CT27","2","TSC-EVT"
"CT27_Okae_TOM","Okae_TOM","CT27","1","TSC-3D"
"CT27_Okae_TOM","Okae_TOM","CT27","2","TSC-3D"
"CT27_Okae_TOM","Okae_TOM","CT27","1","TSC-3D"
"CT27_Okae_TOM","Okae_TOM","CT27","2","TSC-3D"
"CT27_Okae_TOM","Okae_TOM","CT27","1","TSC-3D"
"CT27_Okae_TOM","Okae_TOM","CT27","2","TSC-3D"
"CT27_Okae_TOM","Okae_TOM","CT27","1","TSC-3D"
"CT27_Okae_TOM","Okae_TOM","CT27","2","TSC-3D"
"CT27_STB","STB","CT27","1","TSC-STC"
"CT27_STB","STB","CT27","2","TSC-STC"
"CT27_STB","STB","CT27","1","TSC-STC"
"CT27_STB","STB","CT27","2","TSC-STC"
"CT27_STB","STB","CT27","1","TSC-STC"
"CT27_STB","STB","CT27","2","TSC-STC"
"CT27_STB","STB","CT27","1","TSC-STC"
"CT27_STB","STB","CT27","2","TSC-STC"
"CT27_TSC","TSC","CT27","1","TSC-2D"
"CT27_TSC","TSC","CT27","2","TSC-2D"
"CT27_TSC","TSC","CT27","1","TSC-2D"
"CT27_TSC","TSC","CT27","2","TSC-2D"
"CT27_TSC","TSC","CT27","1","TSC-2D"
"CT27_TSC","TSC","CT27","2","TSC-2D"
"CT27_TSC","TSC","CT27","1","TSC-2D"
"CT27_TSC","TSC","CT27","2","TSC-2D"
"CT29_EVT","EVT","CT29","1","TSC-EVT"
"CT29_EVT","EVT","CT29","2","TSC-EVT"
"CT29_EVT","EVT","CT29","1","TSC-EVT"
"CT29_EVT","EVT","CT29","2","TSC-EVT"
"CT29_EVT","EVT","CT29","1","TSC-EVT"
